row_id,dataset,subset,estimator,source,n,E,A,B,alpha,beta,se_scheme,se_E,se_A,se_B,se_alpha,se_beta,se2_scheme,se2_E,se2_alpha,se2_beta,a,se_a,gamma,se_gamma,sigma_star,se_sigma_star,G,K,Mstar_1e21,Mstar_5.76e23,Mstar_1e26,w_chin70b,N_convention,D_convention,loss_units,cov_file,draws_file,citation,notes
chin_n240_huber,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",Huber-LSE delta=1e-3,estimated (this module),240.0,1.8172180999695944,477.8258652876895,2143.4173935594295,0.3473104985599139,0.3671724333625037,pairs bootstrap,0.0271311360303926,128.7717797364142,1628.362165889744,0.0156141734242264,0.0211893035525446,cluster bootstrap (9 IsoFLOP budgets),0.0463802966438292,0.0235462227789452,0.0460661463375599,0.5138995166400605,0.0196120896570624,0.1784826973339582,0.0057638191355706,0.7367885708471132,0.0063936894051532,0.11320778063665451,1981.482074631424,21.384524643853094,17.921011738152615,15.527603558575906,1.0402021033327846,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_huber.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_huber_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,REFERENCE technology (Hoffmann/Besiroglu estimator on the Besiroglu sample). Cluster covariance in cov_chin_n240_huber_cluster.npy.
chin_n240_lad_log,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",LAD (log loss),estimated (this module),240.0,1.8166874980830057,480.9073734249573,2083.644608498063,0.3476748828794075,0.3658180729716941,pairs bootstrap,0.0274563631421012,133.68476041471075,1691.1951333789918,0.0162717279075473,0.0212824883493045,cluster bootstrap (9 IsoFLOP budgets),0.0453810094918891,0.0243731044554797,0.0457242856375385,0.5127143442296808,0.0201288393690999,0.1782578995806464,0.0057970011525802,0.7370573767981975,0.0064263473511354,0.1192832487445692,1964.4279129152899,21.50928580829448,18.29919845170278,16.05027759472779,1.032406926994357,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_lad_log.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_lad_log_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n240_lad_log_cluster.npy.
chin_n240_gauss_log,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",Gaussian NLS (log loss),estimated (this module),240.0,1.8645500951673692,593.3221010908776,4875.637804064135,0.3602527981215441,0.4058833618175497,pairs bootstrap,0.0291724448863609,139.97091205412997,2588.8831593981035,0.0134392363643371,0.0248109661683876,cluster bootstrap (9 IsoFLOP budgets),0.0594316643830485,0.0249450819686879,0.0541992691684406,0.5297796697780411,0.0172238625326761,0.1908546084254469,0.0070766622183241,0.7230302068875877,0.0077523382793979,0.0547557178669816,3189.183794524606,20.832485570619355,14.266983194695571,10.494080513629276,1.1386744331077296,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_gauss_log.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_gauss_log_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n240_gauss_log_cluster.npy.
chin_n240_nls_lev,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",NLS (levels),estimated (this module),240.0,1.8828136134026112,567.8054277817686,7581.852363127269,0.3576150884797981,0.4276206212661994,pairs bootstrap,0.0286514044953873,128.6158583831248,3994.0537744145654,0.0130288897772991,0.0262562565633915,cluster bootstrap (9 IsoFLOP budgets),0.0568871182842762,0.0260484731648324,0.0549851347701564,0.5445761265805437,0.0173303235882062,0.1947486396910868,0.0070856228131657,0.7180720802198791,0.0079145289699132,0.029356046411749624,3682.268152416342,18.27180659357093,10.367728254854084,6.546666592223771,1.2952259347471786,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_nls_lev.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_nls_lev_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n240_nls_lev_cluster.npy.
chin_n240_vpnls,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",VPNLS (levels),estimated (this module),240.0,1.8828136067800425,567.805395084758,7581.851836494816,0.3576150851791906,0.4276206178609246,pairs bootstrap,0.0286514041609502,128.61585839525966,3994.053776859001,0.0130288898063659,0.0262562565563645,cluster bootstrap (9 IsoFLOP budgets),0.0568871181291935,0.0260484731551942,0.0549851348315889,0.544576126894575,0.017330323800581,0.1947486380059571,0.0070856227320306,0.7180720819487477,0.0079145288946898,0.029356045923817433,3682.2679172558674,18.27180666662484,10.36772825491777,6.546666571060609,1.2952259318892734,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_vpnls.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_vpnls_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n240_vpnls_cluster.npy.
chin_n240_norm,chinchilla_massivetext,"Epoch digitization, n=240 (5 highest-loss runs dropped, Besiroglu sample)",KMW-normalized Huber,estimated (this module),240.0,1.817218098807287,477.8258675515641,2143.4173544829723,0.3473104988152508,0.3671724324211587,pairs bootstrap,0.0271311363574478,128.77178150765482,1628.362196199332,0.0156141736460163,0.021189304122113,cluster bootstrap (9 IsoFLOP budgets),0.0463802962812036,0.023546222296545,0.0460661459599281,0.51389951581596,0.0196120901398457,0.1784826971789569,0.0057638192344094,0.7367885710333155,0.0063936895357428,0.11320778456190389,1981.4820644376139,21.384524802065904,17.921012058483793,15.52760396810227,1.0402020966385204,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n240_norm.npy,data/processed/m1_chinchilla/boot_chinchilla_n240_norm_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n240_norm_cluster.npy.
chin_n245_huber,chinchilla_massivetext,"Epoch digitization, n=245 (all points)",Huber-LSE delta=1e-3,estimated (this module),245.0,1.8913385047640103,495.7260195429532,12845.613989138626,0.3493128951838599,0.4530492982902599,pairs bootstrap,0.0420932669239456,141.7185644590449,60253.91364662488,0.017729453802588,0.053548163541743,cluster bootstrap (9 IsoFLOP budgets),0.0835164968483626,0.0275534063246459,0.092620970201051,0.5646443737941063,0.0329019458366721,0.1972375609592968,0.0108263602651708,0.713683621859235,0.0137450933455419,0.012518791648399563,4055.203858799608,15.503068939845823,6.815945553541965,3.499241693436263,1.5417650344671137,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n245_huber.npy,data/processed/m1_chinchilla/boot_chinchilla_n245_huber_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n245_huber_cluster.npy.
chin_n245_lad_log,chinchilla_massivetext,"Epoch digitization, n=245 (all points)",LAD (log loss),estimated (this module),245.0,1.8852677169440513,463.0370479475408,12515.806528483698,0.345324331197305,0.4518373593476344,pairs bootstrap,0.0433924673774975,147.26259716368256,61115.95993685218,0.0185396406216708,0.0542727920018846,cluster bootstrap (9 IsoFLOP budgets),0.0841547246980705,0.027764780512904,0.0934361550402311,0.5668076686409236,0.0335596630681411,0.1957324790909306,0.0110891407597572,0.7150105075299964,0.0139939155183508,0.011411957909377036,3828.431018801391,15.252131341826184,6.523726648595296,3.275320851803724,1.5645884952806184,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n245_lad_log.npy,data/processed/m1_chinchilla/boot_chinchilla_n245_lad_log_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n245_lad_log_cluster.npy.
chin_n245_gauss_log,chinchilla_massivetext,"Epoch digitization, n=245 (all points)",Gaussian NLS (log loss),estimated (this module),245.0,1.99183032776354,749.5378721281954,370523.1720495152,0.3720978742040045,0.6120482466477323,pairs bootstrap,0.0346501168390399,245.1795305328372,631640.4690693353,0.0188631919287933,0.0529679125550729,cluster bootstrap (9 IsoFLOP budgets),0.1162702130598107,0.0387159178077961,0.151878082104533,0.6219078993249808,0.024840491925343,0.2314106072895034,0.0113767194834078,0.6702084680187038,0.0132576830948203,0.0011040006573792163,15183.515384545186,9.63063964540183,2.044657267647232,0.5815353770638416,3.07913110131602,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n245_gauss_log.npy,data/processed/m1_chinchilla/boot_chinchilla_n245_gauss_log_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n245_gauss_log_cluster.npy.
chin_n245_nls_lev,chinchilla_massivetext,"Epoch digitization, n=245 (all points)",NLS (levels),estimated (this module),245.0,2.0105676404277095,711.8305352897522,1013617.0197018856,0.368435980408409,0.6613968067094748,pairs bootstrap,0.0349699743623824,251.7970272170646,9768575.1721698,0.0205397561533579,0.0661448368669571,cluster bootstrap (9 IsoFLOP budgets),0.1156225456586157,0.0408883629918368,0.1615142332442142,0.6422370844887126,0.0281177914305662,0.236623249878237,0.0118729857757452,0.6601024348615925,0.0149333505679835,0.0004910388981645523,18356.640105290786,7.331191915723118,1.2020034013447447,0.2772067133314577,4.266665824544079,total parameters incl. embeddings (Hoffmann et al. 2022),"tokens = C/(6N), C read off Hoffmann Fig. 4 (single epoch)","nats/token, MassiveText validation loss (Hoffmann tokenizer); digitized, +/-0.01",data/processed/m1_chinchilla/cov_chin_n245_nls_lev.npy,data/processed/m1_chinchilla/boot_chinchilla_n245_nls_lev_pairs.npy,besiroglu2024chinchilla; hoffmann2022training,Cluster covariance in cov_chin_n245_nls_lev_cluster.npy.
